filename,class,family
3ca3e8cb9079e03e7d21d856595bcd2c47af8b2c8484cef22d136ff7f542c44d,0,na
1e5f3ebbe46d47fb544b91e28a655df305a5a991755a912c470d8ef54b927620,0,na
6fb39de001cabe0515e8078718546e6993082adce7d678aa8330c531eb1e370a,0,na
aafa3344c194d798d46208545094778303f505ed2f4bc6fb3828e50cdaddb2d5,0,na
dccac26fa809868a62234dfa6deec2e4384b9d79b95382814e021531bc1280bf,0,na
db62041be9c67587b73fb1fe6fe523c202a2283f2f21aa3761d8e152f9baa1cf,0,na
609bc85a809be192b44b4492fdc8613a3a132e09450bb5ff71060a8a75d26db2,0,na
a244fcc1ad3e834e953879711221110e562a8a751458989be5c9c6a65e24574b,0,na
302d8104d172916739c46d4028c869edfd7eb91de8afba1086881a807680b713,0,na
9adf0d7cc7a7ad79fcdef7ac0144743efb39f2f1df47408f9fafedc262f88eb9,0,na
bbdd3850e6e33b8e7be2070de47b72ffd8d17712be0f6b9e43c3fe040473ee62,0,na
8dc47168a7e7b14e2a0f7d25c3b22b0ed7a0f690f95beb4f17658681cd66541e,0,na
c5a44066bb4355d285b848724a2dc83593df0182171d00eda928dc69d91f67ff,0,na
a5f9aeb852e20c671c127b6a216caf0dc24bc204102342ffb2f4b63f681c98e5,0,na
eaff7011d41cf13d842962b4532293a3c69c407fe37d7c93ae349cf5fd12508f,0,na
a05a337c20d4af4f955314638e598ab0684f9f28454805515791703633ad4891,0,na
ac9436a7d67c3df1e00b63b828efe0b5db92576d39f17e34c6c6e0580a5406a8,0,na
7b3bd30201340000de21e08618153344b8c645fe58518d39a8ef2b7f97cddaed,0,na
136ef625eb40858fd08bf4b7103383cdb6f0424dec99f0375ba944ba75870d20,0,na
95880dfaccf393caf3a7e56cc9bebea62c9d73661b0eb2b3db643fc39c15e069,0,na
24c781a8611e7e37118d60cda1c3307d8103b548e35d2485b147ee9504c43010,0,na
9e0475cbb364310b2699d61070128b938600a56024b03761aa347238094f9070,0,na
3867f3e1625fe83920873730d071df397504121aae1898c2f45a2f519be06f91,0,na
1c76c3124a87fbbbc8f2bfdec9da350036101cdd74821285041df2ac0d333243,0,na
